mu_l1_psnr_rgb = [32.1249, 26.9848, 21.0491, 24.9568, 25.0534, 22.498, 33.0652, 35.7596, 26.8099, 33.7161, 26.6751, 26.4632, 32.8964, 32.416, 33.7582, 32.5261, 27.8106, 28.5239]
pu21_psnr_rgb = [30.8533, 26.1802, 20.3369, 24.2442, 24.2965, 22.081, 32.1068, 33.509, 25.7901, 32.5962, 25.7739, 25.4881, 31.8656, 31.049, 32.2905, 31.6384, 27.1532, 27.5768]
navie_psnr_y = [24.9372, 21.5594, 20.8348, 23.2443, 19.6811, 17.6734, 27.6496, 24.1716, 20.2354, 26.1358, 23.5898, 20.592, 23.701, 22.541, 24.1405, 24.6763, 23.606, 21.2594]
linear_psnr_y = [30.529, 27.3621, 26.5621, 27.9595, 25.5981, 24.2905, 31.692, 32.8734, 28.702, 32.5408, 29.3214, 28.4095, 32.5238, 30.679, 33.6342, 33.6215, 29.6917, 27.3915]
log_psnr_y = []
pu_psnr_y = [32.9893, 28.1617, 27.0238, 28.7364, 26.3729, 26.7774, 33.4481, 36.1312, 31.8856, 35.8313, 32.2129, 30.8897, 34.2951, 32.7188, 34.8844, 34.6914, 30.264, 28.838]
pq_psnr_y = [34.0349, 28.8393, 27.6432, 29.3903, 27.0572, 27.5308, 34.0147, 37.5191, 32.9977, 36.6511, 32.9981, 32.0642, 35.1444, 33.7944, 35.8642, 35.8331, 30.8516, 29.5628]
linear_smape_psnr_y = [33.1738, 28.5422, 27.6973, 29.0631, 26.7026, 27.4386, 33.4717, 36.8441, 32.6686, 36.2635, 33.0272, 31.7969, 34.7915, 33.2789, 35.566, 35.6237, 30.6938, 29.2446]
linear_pu_psnr_y = [31.8497, 27.7272, 26.7639, 28.2645, 25.8446, 25.9013, 32.65, 35.2941, 30.99, 35.1387, 27.6071, 29.8677, 33.6038, 31.9264, 34.3141, 34.272, 29.8903, 28.2648]
linear_pq_psnr_y = [33.4605, 28.7999, 27.8911, 29.3456, 27.0683, 27.5629, 33.6702, 37.5097, 32.5699, 36.6467, 28.2048, 31.2373, 35.1383, 33.7153, 35.9426, 36.1988, 30.9615, 29.558]
linear_mu_psnr_y = [33.3548, 29.1924, 28.2256, 29.6871, 27.4392, 27.9499, 33.7861, 37.539, 32.8689, 36.787, 33.4972, 32.1876, 35.1944, 33.8618, 36.3034, 36.4856, 31.325, 29.6618]
mu_l1_psnr_y = [33.5302, 28.3542, 26.8927, 29.0532, 26.5477, 26.963, 33.7882, 36.9239, 31.6598, 36.3356, 32.6372, 31.4187, 34.5068, 33.3094, 34.9256, 34.6746, 30.4265, 29.3194]
pu21_psnr_y = [32.3157, 27.6271, 26.632, 28.2214, 25.7751, 26.3263, 32.797, 34.5519, 31.1227, 35.0671, 31.2398, 30.2881, 33.6498, 31.8173, 34.2596, 33.9423, 29.7992, 28.2439]
navie_cvvdp = [4.6518, 4.1339, 3.8366, 3.6157, 3.1848, 3.8587, 4.924, 5.2937, 4.7831, 5.59, 5.4618, 4.47, 4.7815, 5.1849, 4.6867, 5.348, 3.9165, 4.1217]
linear_cvvdp = [6.2625, 5.9675, 5.7711, 5.4265, 5.2818, 5.6385, 6.1114, 6.9482, 6.3647, 6.8895, 6.7877, 6.4237, 6.5569, 6.6677, 6.3268, 7.1119, 5.9271, 5.4063]
log_cvvdp = []
pu_cvvdp = [7.1656, 6.263, 5.8983, 5.6935, 5.5729, 6.298, 6.8307, 7.6193, 6.7628, 7.3597, 7.459, 6.836, 7.117, 7.3757, 6.6718, 7.3333, 6.1518, 6.2716]
pq_cvvdp = [7.4266, 6.4453, 6.0969, 5.9282, 5.8032, 6.5791, 7.0125, 7.8974, 6.9451, 7.6253, 7.6564, 7.1625, 7.3046, 7.5982, 6.8759, 7.5317, 6.3568, 6.577]
linear_smape_cvvdp = [7.1039, 6.3309, 6.0647, 5.8008, 5.6544, 6.3234, 6.809, 7.7144, 6.8568, 7.4784, 7.6265, 6.9474, 7.1839, 7.3831, 6.7816, 7.4481, 6.2725, 6.3578]
