EDSR
t statistic: -2.7234627089745396
p value: 0.009370920415052452
Flamingo_aug_5_raw_linear_l1.hdr 19.5259 19.7894 4.8854
Flamingo_aug_5_raw_pq_l1.hdr 42.7431 46.0462 9.0320
Flamingo_aug_5_raw_pu_l1.hdr 38.5609 43.5117 8.7734


Golden_Gate_2_raw_naive.hdr 51.0323 51.5516 9.2435
Golden_Gate_2_raw_linear_l1.hdr 42.0781 42.3375 8.2909
Golden_Gate_2_raw_pq_l1.hdr 52.9543 53.9379 9.4499
Golden_Gate_2_raw_pu_l1.hdr 52.5951 53.5236 9.4318


Golden_Gate_2_aug_1_raw_naive.hdr 49.0187 49.5083 9.1230
Golden_Gate_2_aug_1_raw_linear_l1.hdr 37.3392 37.5996 7.7722
Golden_Gate_2_aug_1_raw_pq_l1.hdr 50.7442 51.6694 9.3387
Golden_Gate_2_aug_1_raw_pu_l1.hdr 50.4605 51.3439 9.3218


Golden_Gate_2_aug_2_raw_naive.hdr 47.0801 47.0889 8.8740
Golden_Gate_2_aug_2_raw_linear_l1.hdr 26.5011 26.4626 6.4067
Golden_Gate_2_aug_2_raw_pq_l1.hdr 47.6693 47.7509 9.0346
Golden_Gate_2_aug_2_raw_pu_l1.hdr 47.5133 47.5956 9.0156


Golden_Gate_2_aug_3_raw_naive.hdr 47.9240 47.9872 8.9522
Golden_Gate_2_aug_3_raw_linear_l1.hdr 25.4704 25.3977 6.5026
Golden_Gate_2_aug_3_raw_pq_l1.hdr 48.4558 48.5893 9.0950
Golden_Gate_2_aug_3_raw_pu_l1.hdr 48.2780 48.4126 9.0767


Golden_Gate_2_aug_4_raw_naive.hdr 52.5065 53.3876 9.3759
Golden_Gate_2_aug_4_raw_linear_l1.hdr 22.6230 22.4947 7.2033
Golden_Gate_2_aug_4_raw_pq_l1.hdr 53.0014 54.0753 9.4752
Golden_Gate_2_aug_4_raw_pu_l1.hdr 52.4854 53.4964 9.4534


Golden_Gate_2_aug_5_raw_naive.hdr 51.7093 52.5191 9.3607
Golden_Gate_2_aug_5_raw_linear_l1.hdr 21.0795 20.9594 7.5008
Golden_Gate_2_aug_5_raw_pq_l1.hdr 52.1085 52.9988 9.4143
Golden_Gate_2_aug_5_raw_pu_l1.hdr 51.4080 52.2613 9.3818


Hancock_Kitchen_Inside_raw_naive.hdr 47.7487 50.7750 9.2518
Hancock_Kitchen_Inside_raw_linear_l1.hdr 28.2908 31.6713 7.3717
Hancock_Kitchen_Inside_raw_pq_l1.hdr 49.3245 52.6408 9.3897
Hancock_Kitchen_Inside_raw_pu_l1.hdr 48.0133 51.7713 9.3393


Hancock_Kitchen_Inside_aug_1_raw_naive.hdr 47.1917 49.7101 9.1576
Hancock_Kitchen_Inside_aug_1_raw_linear_l1.hdr 25.8652 27.8699 6.9062
Hancock_Kitchen_Inside_aug_1_raw_pq_l1.hdr 49.1281 51.9907 9.3503
Hancock_Kitchen_Inside_aug_1_raw_pu_l1.hdr 47.3803 50.9463 9.2939


Hancock_Kitchen_Inside_aug_2_raw_naive.hdr 47.8156 49.5887 9.1662
Hancock_Kitchen_Inside_aug_2_raw_linear_l1.hdr 21.4182 21.9950 5.9825
Hancock_Kitchen_Inside_aug_2_raw_pq_l1.hdr 50.1641 52.3360 9.3992
Hancock_Kitchen_Inside_aug_2_raw_pu_l1.hdr 47.8116 51.2501 9.3483


Hancock_Kitchen_Inside_aug_3_raw_naive.hdr 48.1163 49.7164 9.1803
Hancock_Kitchen_Inside_aug_3_raw_linear_l1.hdr 20.9823 21.5008 5.9667
Hancock_Kitchen_Inside_aug_3_raw_pq_l1.hdr 50.5094 52.5171 9.4122
Hancock_Kitchen_Inside_aug_3_raw_pu_l1.hdr 48.0589 51.3600 9.3570


Hancock_Kitchen_Inside_aug_4_raw_naive.hdr 49.5583 50.5458 9.2282
Hancock_Kitchen_Inside_aug_4_raw_linear_l1.hdr 19.5085 19.7583 6.1006
Hancock_Kitchen_Inside_aug_4_raw_pq_l1.hdr 51.9480 53.2070 9.4271
Hancock_Kitchen_Inside_aug_4_raw_pu_l1.hdr 49.2145 51.8454 9.3407


Hancock_Kitchen_Inside_aug_5_raw_naive.hdr 51.3100 52.0156 9.2941
Hancock_Kitchen_Inside_aug_5_raw_linear_l1.hdr 18.6429 18.7165 6.4131
Hancock_Kitchen_Inside_aug_5_raw_pq_l1.hdr 53.5222 54.4162 9.4521
Hancock_Kitchen_Inside_aug_5_raw_pu_l1.hdr 51.1346 52.7496 9.2632


Lab_Booth_raw_naive.hdr 40.0868 54.4545 9.4614
Lab_Booth_raw_linear_l1.hdr 31.4776 35.5501 8.1232
Lab_Booth_raw_pq_l1.hdr 40.7018 56.7475 9.6242
Lab_Booth_raw_pu_l1.hdr 40.1125 55.7155 9.5702


Lab_Booth_aug_1_raw_naive.hdr 40.6837 52.9696 9.3696
Lab_Booth_aug_1_raw_linear_l1.hdr 29.7884 32.9905 7.7100
Lab_Booth_aug_1_raw_pq_l1.hdr 41.3124 56.0517 9.5786
Lab_Booth_aug_1_raw_pu_l1.hdr 40.2062 54.6403 9.5136


Lab_Booth_aug_2_raw_naive.hdr 42.1651 49.8492 9.1929
Lab_Booth_aug_2_raw_linear_l1.hdr 25.1191 27.9453 6.7457
Lab_Booth_aug_2_raw_pq_l1.hdr 43.1703 53.4118 9.4620
Lab_Booth_aug_2_raw_pu_l1.hdr 40.3429 51.7155 9.3723


Lab_Booth_aug_3_raw_naive.hdr 42.4605 49.6125 9.1777
Lab_Booth_aug_3_raw_linear_l1.hdr 24.5709 27.2239 6.6363
Lab_Booth_aug_3_raw_pq_l1.hdr 43.5730 53.2051 9.4510
Lab_Booth_aug_3_raw_pu_l1.hdr 40.5261 51.4746 9.3594


Lab_Booth_aug_4_raw_naive.hdr 43.4747 48.7653 9.1250
Lab_Booth_aug_4_raw_linear_l1.hdr 22.4108 24.1976 6.2399
Lab_Booth_aug_4_raw_pq_l1.hdr 44.8338 52.3091 9.4010
Lab_Booth_aug_4_raw_pu_l1.hdr 40.7751 50.5355 9.3031


Lab_Booth_aug_5_raw_naive.hdr 44.7845 47.9318 9.0578
Lab_Booth_aug_5_raw_linear_l1.hdr 20.8889 21.9713 5.9105
Lab_Booth_aug_5_raw_pq_l1.hdr 46.5449 51.2345 9.3393
Lab_Booth_aug_5_raw_pu_l1.hdr 41.3836 49.6043 9.2422


Lab_Typwriter_raw_naive.hdr 47.9425 50.8824 9.3869
Lab_Typwriter_raw_linear_l1.hdr 27.2305 29.1067 7.7942
Lab_Typwriter_raw_pq_l1.hdr 48.4952 51.6904 9.4731
Lab_Typwriter_raw_pu_l1.hdr 47.8372 51.3155 9.4411


Lab_Typwriter_aug_1_raw_naive.hdr 48.0411 51.8786 9.4410
Lab_Typwriter_aug_1_raw_linear_l1.hdr 25.0075 26.2927 7.5477
Lab_Typwriter_aug_1_raw_pq_l1.hdr 48.7283 53.0272 9.5697
Lab_Typwriter_aug_1_raw_pu_l1.hdr 47.8412 52.3623 9.5190


Lab_Typwriter_aug_2_raw_naive.hdr 47.9706 51.2200 9.2562
Lab_Typwriter_aug_2_raw_linear_l1.hdr 20.9291 21.4685 6.9763
Lab_Typwriter_aug_2_raw_pq_l1.hdr 49.1308 52.6291 9.3984
Lab_Typwriter_aug_2_raw_pu_l1.hdr 47.8636 51.5707 9.3125


Lab_Typwriter_aug_3_raw_naive.hdr 48.1876 51.2721 9.2532
Lab_Typwriter_aug_3_raw_linear_l1.hdr 20.5518 21.0091 6.9353
Lab_Typwriter_aug_3_raw_pq_l1.hdr 49.4161 52.7816 9.3957
Lab_Typwriter_aug_3_raw_pu_l1.hdr 48.0652 51.6790 9.2892


Lab_Typwriter_aug_4_raw_naive.hdr 49.2728 51.9343 9.2801
Lab_Typwriter_aug_4_raw_linear_l1.hdr 19.3312 19.4837 6.8421
Lab_Typwriter_aug_4_raw_pq_l1.hdr 50.6891 54.0850 9.4380
Lab_Typwriter_aug_4_raw_pu_l1.hdr 48.9769 52.5338 9.2188


Lab_Typwriter_aug_5_raw_naive.hdr 50.3853 52.4775 9.3315
Lab_Typwriter_aug_5_raw_linear_l1.hdr 18.6567 18.6824 6.8596
Lab_Typwriter_aug_5_raw_pq_l1.hdr 51.8142 54.7430 9.4807
Lab_Typwriter_aug_5_raw_pu_l1.hdr 49.9624 52.9000 9.1690


Lab_Window_raw_naive.hdr 43.1203 48.2229 9.0232
Lab_Window_raw_linear_l1.hdr 28.7293 29.4355 7.3115
Lab_Window_raw_pq_l1.hdr 44.7345 51.2000 9.3007
Lab_Window_raw_pu_l1.hdr 44.3279 50.5356 9.2575


Lab_Window_aug_1_raw_naive.hdr 42.9312 47.5978 8.9764
Lab_Window_aug_1_raw_linear_l1.hdr 26.6519 27.2444 6.7609
Lab_Window_aug_1_raw_pq_l1.hdr 44.7454 51.0106 9.2808
Lab_Window_aug_1_raw_pu_l1.hdr 44.1606 50.1572 9.2207


Lab_Window_aug_2_raw_naive.hdr 45.3525 49.7752 9.1448
Lab_Window_aug_2_raw_linear_l1.hdr 22.3753 22.7220 6.1064
Lab_Window_aug_2_raw_pq_l1.hdr 46.8055 52.0298 9.3519
Lab_Window_aug_2_raw_pu_l1.hdr 45.7380 50.9262 9.2744


Lab_Window_aug_3_raw_naive.hdr 45.8950 50.2268 9.1676
Lab_Window_aug_3_raw_linear_l1.hdr 21.8521 22.1396 6.0850
Lab_Window_aug_3_raw_pq_l1.hdr 47.3183 52.4565 9.3699
Lab_Window_aug_3_raw_pu_l1.hdr 46.0896 51.2472 9.2864


Lab_Window_aug_4_raw_naive.hdr 47.8900 52.4015 9.3003
Lab_Window_aug_4_raw_linear_l1.hdr 20.2414 20.3906 6.2301
Lab_Window_aug_4_raw_pq_l1.hdr 49.0237 54.1123 9.4436
Lab_Window_aug_4_raw_pu_l1.hdr 46.6399 52.1989 9.3090


Lab_Window_aug_5_raw_naive.hdr 48.7444 52.5620 9.3215
Lab_Window_aug_5_raw_linear_l1.hdr 19.3560 19.4402 6.6132
Lab_Window_aug_5_raw_pq_l1.hdr 49.7662 54.2013 9.4476
Lab_Window_aug_5_raw_pu_l1.hdr 46.5419 51.8446 9.2639


Las_Vegas_Store_raw_naive.hdr 39.9199 43.4566 8.6113
Las_Vegas_Store_raw_linear_l1.hdr 30.4772 31.2191 8.1655
Las_Vegas_Store_raw_pq_l1.hdr 40.3636 43.5137 8.5847
Las_Vegas_Store_raw_pu_l1.hdr 40.2301 43.4190 8.5731


Las_Vegas_Store_aug_1_raw_naive.hdr 40.6208 44.9634 8.7484
Las_Vegas_Store_aug_1_raw_linear_l1.hdr 27.7844 28.1990 7.9455
Las_Vegas_Store_aug_1_raw_pq_l1.hdr 41.2298 45.3187 8.7543
