pq_psnr_y = [44.0763, 43.8695, 57.9004, 60.7705, 68.2151, 86.2484, 40.7959, 50.7101, 52.088, 54.6622, 51.5181, 49.8324, 43.7076, 53.6152, 52.1669, 83.3461, 62.656, 79.0546, 40.8861]
linear_smape_psnr_y = [43.0995, 43.1189, 57.8945, 59.5474, 67.9699, 86.2484, 40.369, 50.3343, 51.1865, 52.2848, 51.0903, 46.2942, 43.2513, 53.4091, 50.551, 83.9606, 63.0218, 79.0666, 40.6873]
linear_pu_psnr_y = [17.4071, 17.3264, 17.1053, 17.1129, 17.1014, 17.0997, 17.9592, 17.1398, 17.6657, 17.2952, 17.9151, 17.6801, 17.5821, 17.1398, 17.4142, 17.0998, 17.104, 17.0998, 17.7797]
linear_pq_psnr_y = [42.62, 42.9762, 57.7251, 59.0278, 68.002, 86.2484, 40.1407, 50.2595, 51.394, 51.3084, 51.2717, 44.8432, 43.1732, 53.6074, 50.6986, 83.3716, 62.5493, 79.0583, 40.7041]
linear_mu_psnr_y = [43.1318, 41.9592, 57.2688, 60.5407, 68.0552, 86.2484, 39.8893, 49.8647, 50.5351, 48.8545, 50.5179, 43.7932, 42.8936, 52.0547, 49.7774, 83.6807, 60.7802, 79.0607, 40.2784]
navie_cvvdp = []
linear_cvvdp = [7.7331, 7.8986, 9.344, 9.6242, 9.8522, 9.9863, 7.6297, 8.7705, 8.4662, 8.3659, 8.7298, 8.023, 8.1551, 8.9818, 8.3422, 9.8262, 9.4234, 9.9574, 7.6987]
log_cvvdp = []
pu_cvvdp = [8.2877, 8.3658, 9.4769, 9.7513, 9.8763, 9.987, 8.0875, 9.0569, 9.1285, 9.2643, 9.3124, 8.9575, 8.4648, 9.2505, 9.0616, 9.9589, 9.6333, 9.9648, 8.1387]
pq_cvvdp = [8.4997, 8.4795, 9.4779, 9.7636, 9.8791, 9.987, 8.2927, 9.0979, 9.3318, 9.4028, 9.428, 9.0348, 8.6604, 9.2646, 9.2216, 9.9506, 9.6408, 9.9648, 8.3386]
linear_smape_cvvdp = [8.2006, 8.339, 9.4753, 9.6595, 9.8574, 9.987, 8.0071, 9.051, 9.2038, 9.2136, 9.3438, 8.6905, 8.4654, 9.2525, 9.0487, 9.9597, 9.6669, 9.9648, 8.2367]
linear_pu_cvvdp = [7.0879, 6.8922, 9.2862, 9.6017, 9.8501, 9.987, 7.3519, 8.2724, 7.3283, 8.0696, 7.7556, 7.2376, 8.139, 8.3547, 7.2024, 9.9444, 9.2523, 9.9647, 6.9977]
linear_pq_cvvdp = [8.0758, 8.3203, 9.4685, 9.6442, 9.8748, 9.987, 8.0093, 9.042, 9.2355, 9.2069, 9.3849, 8.786, 8.4241, 9.2655, 9.072, 9.9606, 9.6528, 9.9648, 8.2189]
linear_mu_cvvdp = [8.1883, 8.1851, 9.4528, 9.7319, 9.8681, 9.987, 7.9643, 9.0253, 9.1632, 9.0267, 9.3077, 8.6426, 8.4142, 9.186, 8.9781, 9.9553, 9.6028, 9.9647, 8.1345]
